name	uci
Slav Defense: Czech Variation, Krause Attack, Fazekas Gambit	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 f3e5 b8a6 e2e4
Slav Defense: Czech Variation, Wiesbaden Variation	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 f3e5 e7e6
Slav Defense: Czech Variation, Wiesbaden Variation, Sharp Line	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 f3e5 e7e6 f2f3 f8b4 e2e4
Slav Defense: Czech Variation, Classical System	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 e2e3
Slav Defense: Czech Variation, Lasker Variation	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 e2e3 b8a6
Slav Defense: Czech Variation, Classical System, Main Line	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 e2e3 e7e6 f1c4 f8b4 e1g1 e8g8 d1e2
Slav Defense: Czech Variation, Dutch Variation	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 e2e3 e7e6 f1c4 f8b4 e1g1
Slav Defense: Czech Variation, Dutch Variation, Sämisch Variation	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 e2e3 e7e6 f1c4 f8b4 e1g1 e8g8 d1e2 f6e4 g2g4
Queen's Gambit Accepted	d2d4 d7d5 c2c4 d5c4
Queen's Gambit Accepted: Accelerated Mannheim Variation	d2d4 d7d5 c2c4 d5c4 d1a4
Queen's Gambit Accepted: Central Variation, Alekhine System	d2d4 d7d5 c2c4 d5c4 e2e4 g8f6
Queen's Gambit Accepted: Central Variation, Greco Variation	d2d4 d7d5 c2c4 d5c4 e2e4 b7b5
Queen's Gambit Accepted: Central Variation, McDonnell Defense	d2d4 d7d5 c2c4 d5c4 e2e4 e7e5
Queen's Gambit Accepted: Central Variation, McDonnell Defense, Somov Gambit	d2d4 d7d5 c2c4 d5c4 e2e4 e7e5 f1c4
Queen's Gambit Accepted: Central Variation, Modern Defense	d2d4 d7d5 c2c4 d5c4 e2e4 b8c6
Queen's Gambit Accepted: Central Variation, Rubinstein Defense	d2d4 d7d5 c2c4 d5c4 e2e4 c7c5
Queen's Gambit Accepted: Central Variation, Rubinstein Defense, Yefimov Gambit	d2d4 d7d5 c2c4 d5c4 e2e4 c7c5 d4d5 b7b5
Queen's Gambit Accepted: Linares Variation	d2d4 d7d5 c2c4 d5c4 e2e4 c7c5 d4d5 g8f6 b1c3 b7b5
Queen's Gambit Accepted: Old Variation	d2d4 d7d5 c2c4 d5c4 e2e3
Queen's Gambit Accepted: Old Variation, Billinger Gambit	d2d4 d7d5 c2c4 d5c4 e2e3 e7e5 f1c4 e5d4 d1b3 d8e7 a2a3
Queen's Gambit Accepted: Old Variation, Christensen Gambit	d2d4 d7d5 c2c4 d5c4 e2e3 e7e5 f1c4 e5d4 d1b3 d8e7 g1f3
Queen's Gambit Accepted: Old Variation, Korchnoi Gambit	d2d4 d7d5 c2c4 d5c4 e2e3 e7e5 f1c4 e5d4 d1b3 d8e7 e1f1
Queen's Gambit Accepted: Old Variation, Novikov Gambit	d2d4 d7d5 c2c4 d5c4 e2e3 e7e5 f1c4 e5d4 d1b3 d8e7 b1d2
Queen's Gambit Accepted: Saduleto Variation	d2d4 d7d5 c2c4 d5c4 e2e4
Queen's Gambit Accepted: Schwartz Defense	d2d4 d7d5 c2c4 d5c4 e2e4 f7f5
Queen's Gambit Accepted: Alekhine Defense, Borisenko-Furman Variation	d2d4 d7d5 c2c4 d5c4 g1f3 a7a6 e2e4
Queen's Gambit Accepted: Godes Variation	d2d4 d7d5 c2c4 d5c4 g1f3 b8d7
Queen's Gambit Accepted: Gunsberg Defense	d2d4 d7d5 c2c4 d5c4 g1f3 c7c5
Queen's Gambit Accepted: Normal Variation	d2d4 d7d5 c2c4 d5c4 g1f3
Queen's Gambit Accepted: Rosenthal Variation	d2d4 d7d5 c2c4 d5c4 g1f3 e7e6
Queen's Gambit Accepted: Slav Gambit	d2d4 d7d5 c2c4 d5c4 g1f3 b7b5
Queen's Gambit Accepted: Alekhine Defense	d2d4 d7d5 c2c4 d5c4 g1f3 a7a6
Queen's Gambit Accepted: Alekhine Defense, Alatortsev Variation	d2d4 d7d5 c2c4 d5c4 g1f3 a7a6 e2e3 c8g4 f1c4 e7e6 d4d5
Queen's Gambit Accepted: Alekhine Defense, Haberditz Variation	d2d4 d7d5 c2c4 d5c4 g1f3 a7a6 e2e3 b7b5
Queen's Gambit Accepted	d2d4 d7d5 c2c4 d5c4 g1f3 g8f6
Queen's Gambit Accepted: Mannheim Variation	d2d4 d7d5 c2c4 d5c4 g1f3 g8f6 d1a4
Queen's Gambit Accepted: Bogoljubov Defense	d2d4 d7d5 c2c4 d5c4 g1f3 g8f6 b1c3 a7a6 e2e4
