name	uci
Pterodactyl Defense: Sicilian, Siroccopteryx	e2e4 g7g6 d2d4 f8g7 b1c3 c7c5 g1f3 d8a5 f1c4
Pterodactyl Defense: Western, Anhanguera	e2e4 g7g6 d2d4 f8g7 g1f3 c7c5 c1e3 d8a5
Pterodactyl Defense: Western, Siroccopteryx	e2e4 g7g6 g1f3 f8g7 d2d4 c7c5 f1c4 c5d4 f3d4 d8a5
Rat Defense: Accelerated Gurgenidze	e2e4 g7g6 d2d4 d7d6 b1c3 c7c6
Czech Defense	e2e4 d7d6 d2d4 g8f6 b1c3 c7c6
King's Pawn Game: Maróczy Defense	e2e4 d7d6 d2d4 e7e5
Lion Defense: Anti-Philidor	e2e4 d7d6 d2d4 g8f6 b1c3 b8d7 f2f4
Lion Defense: Anti-Philidor, Lion's Cave	e2e4 d7d6 d2d4 g8f6 b1c3 b8d7 f2f4 e7e5
Lion Defense: Anti-Philidor, Lion's Cave, Lion Claw Gambit	e2e4 d7d6 d2d4 g8f6 b1c3 b8d7 f2f4 e7e5 g1f3 e5d4 d1d4 c7c6 f1c4 d6d5
Lion Defense: Bayonet Attack	e2e4 d7d6 d2d4 g8f6 b1c3 b8d7 g2g4
Modern Defense: Geller's System	e2e4 g7g6 d2d4 f8g7 g1f3 d7d6 c2c3
Pirc Defense	e2e4 d7d6 d2d4 g8f6 b1c3 g7g6
Pirc Defense: 150 Attack	e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 c1e3 c7c6 d1d2
Pirc Defense: 150 Attack, Inner Doll Defense	e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 c1e3 c7c6 d1d2 c8g4
Pirc Defense: 150 Attack, Sveshnikov-Jansa Attack	e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 c1e3 c7c6 h2h3
Pirc Defense: Bayonet Attack	e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f1e2 f8g7 h2h4
Pirc Defense: Byrne Variation	e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 c1g5
Pirc Defense: Chinese Variation	e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f1e2 f8g7 g2g4
Pirc Defense: Kholmov System	e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f1c4
Pirc Defense: Sveshnikov System	e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 g2g3
Pirc Defense: Classical Variation	e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 g1f3
Pirc Defense: Classical Variation	e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 g1f3 f8g7
